agent_nr,rate,noise,Self,Other,trial,strategy
3,0.65,0.2,0,0,101,LSWS
3,0.65,0.2,1,0,102,LSWS
3,0.65,0.2,1,0,103,LSWS
3,0.65,0.2,1,0,104,LSWS
3,0.65,0.2,1,1,105,LSWS
3,0.65,0.2,0,1,106,LSWS
3,0.65,0.2,1,0,107,LSWS
3,0.65,0.2,1,0,108,LSWS
3,0.65,0.2,1,0,109,LSWS
3,0.65,0.2,1,1,110,LSWS
3,0.65,0.2,0,1,111,LSWS
3,0.65,0.2,0,0,112,LSWS
3,0.65,0.2,1,0,113,LSWS
3,0.65,0.2,1,0,114,LSWS
3,0.65,0.2,1,0,115,LSWS
3,0.65,0.2,1,1,116,LSWS
3,0.65,0.2,0,0,117,LSWS
3,0.65,0.2,1,0,118,LSWS
3,0.65,0.2,1,1,119,LSWS
3,0.65,0.2,0,1,120,LSWS
4,0.65,0.2,1,0,1,LSWS
4,0.65,0.2,1,1,2,LSWS
4,0.65,0.2,0,0,3,LSWS
4,0.65,0.2,1,0,4,LSWS
4,0.65,0.2,1,1,5,LSWS
4,0.65,0.2,0,0,6,LSWS
4,0.65,0.2,1,0,7,LSWS
4,0.65,0.2,1,0,8,LSWS
4,0.65,0.2,1,1,9,LSWS
4,0.65,0.2,1,0,10,LSWS
4,0.65,0.2,1,0,11,LSWS
4,0.65,0.2,1,0,12,LSWS
4,0.65,0.2,1,1,13,LSWS
4,0.65,0.2,0,1,14,LSWS
4,0.65,0.2,0,1,15,LSWS
4,0.65,0.2,0,1,16,LSWS
4,0.65,0.2,0,1,17,LSWS
4,0.65,0.2,0,1,18,LSWS
4,0.65,0.2,0,0,19,LSWS
4,0.65,0.2,1,0,20,LSWS
4,0.65,0.2,1,1,21,LSWS
4,0.65,0.2,0,0,22,LSWS
4,0.65,0.2,0,1,23,LSWS
4,0.65,0.2,0,1,24,LSWS
4,0.65,0.2,0,1,25,LSWS
4,0.65,0.2,0,1,26,LSWS
4,0.65,0.2,0,1,27,LSWS
4,0.65,0.2,0,1,28,LSWS
4,0.65,0.2,0,1,29,LSWS
4,0.65,0.2,0,1,30,LSWS
4,0.65,0.2,0,1,31,LSWS
4,0.65,0.2,0,1,32,LSWS
4,0.65,0.2,0,1,33,LSWS
4,0.65,0.2,0,1,34,LSWS
4,0.65,0.2,1,1,35,LSWS
4,0.65,0.2,0,1,36,LSWS
4,0.65,0.2,1,1,37,LSWS
4,0.65,0.2,0,1,38,LSWS
4,0.65,0.2,0,1,39,LSWS
4,0.65,0.2,1,1,40,LSWS
4,0.65,0.2,0,1,41,LSWS
4,0.65,0.2,0,1,42,LSWS
4,0.65,0.2,0,0,43,LSWS
4,0.65,0.2,0,1,44,LSWS
4,0.65,0.2,0,1,45,LSWS
4,0.65,0.2,0,1,46,LSWS
4,0.65,0.2,0,1,47,LSWS
4,0.65,0.2,0,0,48,LSWS
4,0.65,0.2,0,1,49,LSWS
4,0.65,0.2,0,0,50,LSWS
4,0.65,0.2,1,0,51,LSWS
4,0.65,0.2,0,0,52,LSWS
4,0.65,0.2,1,1,53,LSWS
4,0.65,0.2,0,1,54,LSWS
4,0.65,0.2,1,1,55,LSWS
4,0.65,0.2,0,1,56,LSWS
4,0.65,0.2,0,0,57,LSWS
4,0.65,0.2,1,0,58,LSWS
4,0.65,0.2,1,1,59,LSWS
